DATE,RPMD11,CPIAUCSL,CES4348100001,DSPIC96,,,
1/1/2000,53715488,169.3,604.5,9799.9,,,
2/1/2000,55653549,170,608.5,9837.9,,,
3/1/2000,56806283,171,610.3,9864,,,
4/1/2000,57788778,170.9,609,9913.7,,,
5/1/2000,59139161,171.2,611.5,9954.5,,,
6/1/2000,58233745,172.2,612.6,9982.3,,,
7/1/2000,58196281,172.7,612.1,10035.9,,,
8/1/2000,57169525,172.7,614.1,10098.3,,,
9/1/2000,60196568,173.6,616.9,10110.3,,,
10/1/2000,59483848,173.9,620.8,10139.2,,,
11/1/2000,59038927,174.2,624.6,10143.5,,,
12/1/2000,55733124,174.6,628.3,10164.3,,,
1/1/2001,57868838,175.6,631.8,10211.7,,,
2/1/2001,58022456,176,633.4,10223.4,,,
3/1/2001,58049009,176.1,633.6,10254.4,,,
4/1/2001,58675126,176.4,632.4,10233.1,,,
5/1/2001,58274192,177.3,628.9,10214.7,,,
6/1/2001,58150502,177.7,625.1,10218.1,,,
7/1/2001,58557629,177.4,625.5,10370.7,,,
8/1/2001,59055202,177.4,622.6,10543.1,,,
9/1/2001,41596228,178.1,619.2,10452.8,,,
10/1/2001,44827454,177.6,601.2,10267.7,,,
11/1/2001,47241482,177.5,570.3,10279.7,,,
12/1/2001,48976413,177.4,560,10298.9,,,
1/1/2002,50506573,177.7,556.9,10514.7,,,
2/1/2002,52216553,178,558.2,10531.6,,,
3/1/2002,52971338,178.5,557.3,10539,,,
4/1/2002,52826005,179.3,558,10574.2,,,
5/1/2002,53554539,179.5,562.8,10616.5,,,
6/1/2002,53958128,179.6,567.3,10648.2,,,
7/1/2002,54090305,180,570.4,10621,,,
8/1/2002,54617563,180.5,568.8,10623,,,
9/1/2002,53180346,180.8,567.3,10633.6,,,
10/1/2002,54524071,181.2,565.8,10661.8,,,
11/1/2002,54562538,181.5,565.9,10690.9,,,
12/1/2002,55048237,181.8,565.4,10719.9,,,
1/1/2003,54748350,182.6,563.9,10710.4,,,
2/1/2003,54039733,183.6,556,10674,,,
3/1/2003,52961141,183.9,548.7,10696.5,,,
4/1/2003,50381382,183.2,536.9,10752.7,,,
5/1/2003,51959313,182.9,528.6,10832,,,
6/1/2003,53851052,183.1,520.4,10860.6,,,
7/1/2003,55835257,183.7,515.1,10991.1,,,
8/1/2003,55881274,184.5,514.5,11066.7,,,
9/1/2003,55897871,185.1,514.3,10940.8,,,
10/1/2003,56567494,184.9,512.5,10982.3,,,
11/1/2003,57754156,185,515.1,11048.4,,,
12/1/2003,58257253,185.5,517.3,11057.2,,,
1/1/2004,57481713,186.3,514.6,11051.2,,,
2/1/2004,58807125,186.7,515.4,11071,,,
3/1/2004,59722655,187.1,516.5,11115.6,,,
4/1/2004,60394027,187.4,516.5,11153.3,,,
5/1/2004,60375842,188.2,516.5,11208.9,,,
6/1/2004,61474415,188.9,515.1,11215.8,,,
7/1/2004,61668893,189.1,514.5,11240.5,,,
8/1/2004,61405479,189.2,512.6,11274.6,,,
9/1/2004,61562453,189.8,512.8,11279.6,,,
10/1/2004,63002191,190.8,512.9,11282.5,,,
11/1/2004,62888474,191.7,513.7,11246.1,,,
12/1/2004,63222167,191.7,511.9,11659,,,
1/1/2005,64064908,191.6,509.1,11226.5,,,
2/1/2005,64603004,192.4,508.3,11229,,,
3/1/2005,64985923,193.1,506.8,11268.8,,,
4/1/2005,64751873,193.7,507.2,11304.2,,,
5/1/2005,65466326,193.6,506.8,11352.7,,,
6/1/2005,65120439,193.7,506.2,11375.5,,,
7/1/2005,65374153,194.9,503.9,11387.1,,,
8/1/2005,64617417,196.1,500.3,11405.3,,,
9/1/2005,65670614,198.8,494.1,11365.2,,,
10/1/2005,64376810,199.1,492.8,11428.7,,,
11/1/2005,65273903,198.1,487.9,11500.1,,,
12/1/2005,65383398,198.1,484.9,11535.2,,,
1/1/2006,65954238,199.3,487.2,11651.8,,,
2/1/2006,66263916,199.4,485.8,11702.8,,,
3/1/2006,66584130,199.7,485.4,11747.5,,,
4/1/2006,67162994,200.7,486.4,11744.4,,,
5/1/2006,66778169,201.3,484.7,11736.8,,,
6/1/2006,66060550,201.8,485.3,11751.9,,,
7/1/2006,66359453,202.9,486.5,11746.9,,,
8/1/2006,64923130,203.8,486.8,11737,,,
9/1/2006,66140998,202.8,489.8,11800.1,,,
10/1/2006,66662086,201.9,490.4,11853.7,,,
11/1/2006,67645488,202,485.1,11901.9,,,
12/1/2006,67526079,203.1,491.8,11958.6,,,
1/1/2007,68553152,203.437,489.9,11956.6,,,
2/1/2007,68212086,204.226,482.4,11996,,,
3/1/2007,68753226,205.288,485.5,12035.1,,,
4/1/2007,68910947,205.904,492,12052.8,,,
5/1/2007,68700554,206.755,483.9,12059.9,,,
6/1/2007,68855712,207.234,491.9,12053.3,,,
7/1/2007,68766709,207.603,492.3,12066.4,,,
8/1/2007,69221686,207.667,493.7,12070.9,,,
9/1/2007,69763428,208.547,495.2,12089.6,,,
10/1/2007,70184196,209.19,495.6,12080.4,,,
11/1/2007,70309641,210.834,497.2,12070.1,,,
12/1/2007,69845227,211.445,499.5,12120.5,,,
1/1/2008,70091157,212.174,501.2,12137.1,,,
2/1/2008,70107316,212.687,504.8,12141.8,,,
3/1/2008,70259471,213.448,503.3,12145.9,,,
4/1/2008,69310155,213.942,500.2,12100.8,,,
5/1/2008,69205064,215.208,497.2,12696.2,,,
6/1/2008,68450603,217.463,493.8,12376.6,,,
7/1/2008,67540353,219.016,490.7,12188.7,,,
8/1/2008,67459316,218.69,485.4,12120.6,,,
9/1/2008,64591748,218.877,481.8,12149,,,
10/1/2008,64907240,216.995,478.9,12240.5,,,
11/1/2008,63880201,213.153,477,12345.9,,,
12/1/2008,64472087,211.398,473.1,12288.8,,,
1/1/2009,63357223,211.933,469.6,12361.5,,,
2/1/2009,63848940,212.705,468.4,12241.9,,,
3/1/2009,63257192,212.495,466.7,12242.7,,,
4/1/2009,64667201,212.709,460,12320,,,
5/1/2009,62596008,213.022,461.3,12500.1,,,
6/1/2009,64149055,214.79,459.7,12273.2,,,
7/1/2009,64922797,214.726,460.4,12218.7,,,
8/1/2009,65507272,215.445,461.5,12194.8,,,
9/1/2009,64347532,215.861,461.8,12230.6,,,
10/1/2009,64135859,216.509,462.8,12193.2,,,
11/1/2009,63354672,217.234,461.1,12224.4,,,
12/1/2009,64999774,217.347,460.6,12280.2,,,
1/1/2010,64892644,217.488,462.1,12285.8,,,
2/1/2010,63877257,217.281,463.8,12292,,,
3/1/2010,65725463,217.353,462.2,12340.3,,,
4/1/2010,64141091,217.403,461.2,12447.1,,,
5/1/2010,65897103,217.29,459.8,12540.3,,,
6/1/2010,66616597,217.199,458,12544.3,,,
7/1/2010,66593474,217.605,456.7,12554.2,,,
8/1/2010,67155746,217.923,456.2,12591.4,,,
